establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
US Gypsum East Chicago|USG|IN|1|22|169|335732|361898410|'USG Corporation'|usg
US Gypsum Galena Park|USG|TX|1|22|225|460340|361898410|'USG Corporation'|usg
USG Interiors Greenville|USG|MS|1|22|204|464938|453811432|'USG Corporation'|usg
US Gypsum Gypsum|USG|OH|1|3|287|587377|361898410|'USG Corporation'|usg
US Gypsum Jacksonville|USG|FL|1|3|253|514537|361898410|'USG Corporation'|usg
US Gypsum North Kansas City|USG|MO|1|21|56|118457|361898410|'USG Corporation'|usg
US Gypsum New Orleans|USG|LA|1|21|63|135124|361898410|'USG Corporation'|usg
US Gypsum Otsego|USG|MI|1|22|153|320291|204479731|'USG Corporation'|usg
US Gypsum Phoenix|USG|AZ|1|1|17|36475|361898410|'USG Corporation'|usg
US Gypsum Plaster City|USG|CA|1|3|290|632887|361898410|'USG Corporation'|usg
US Gypsum Port Reading|USG|NJ|1|21|80|162348|361898410|'USG Corporation'|usg
US Gypsum Rainier|USG|OR|1|22|104|195137|361898410|'USG Corporation'|usg
USG Interiors Red Wing|USG|MN|1|21|37|72837|453811432|'USG Corporation'|usg
US Gypsum Shoals|USG|IN|1|3|266|525530|361898410|'USG Corporation'|usg
US Gypsum Sigurd|USG|UT|1|21|86|167135|361898410|'USG Corporation'|usg
US Gypsum Southard|USG|OK|1|3|251|501217|361898410|'USG Corporation'|usg
US Gypsum Sperry|USG|IA|1|22|231|465955|361898410|'USG Corporation'|usg
USG Interiors Stockton|USG|CA|1|21|22|37566|453811432|'USG Corporation'|usg
US Gypsum Sweetwater|USG|TX|1|3|260|543753|361898410|'USG Corporation'|usg
US Gypsum Torrance|USG|CA|1|21|52|98057|361898410|'USG Corporation'|usg
