establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Pfeifer Roofing, Inc|Pfeifer Roofing, Inc.|OR|1|2|74|142446|931225470|'Pfeifer Roofing Inc.'|pfeifer roofing|false
Hilton Boston Woburn|Interstate management company LLC|MA|1|2|107|165610|474951937|'Interstate Corp.'|interstate|false
Alloy Architectural Solutions|Alloy Architectural Solutions|IL|1|1|15|22012|824789224|'Alloy Architectural Solutions LLC'|alloy architectural|false
Greenwood Plastics South|Greenwood Inc|IL|1|2|63|43949|370816080|'Greenwood Industries Inc.'|greenwood|false
Waterview Shores Skilled Nursing Facility|Monarch|MN|1|2|53|86738|834662774|'Monarch Consulting Services'|monarch|false
SI|Sampco, Inc.|MA|1|2|33|69075|43110392|'Sampco Inc.'|sampco|false
Bone Dry Roofing Company|Bone Dry Roofing Company|SC|1|2|25|61096|861081716|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing|true
Bone Dry Roofing - Athens|Bone Dry Roofing|GA|1|2|45|106627|861081716|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing|true
Trigard Memorials|Greenwood Inc|IL|1|2|25|22726|370816080|'Greenwood Industries Inc.'|greenwood|false
The Vertex Companies|The Vertex Companies|MA|1|3|741|1198627||'The Vertex Companies'|the vertex companies|false
PHRG ATL|Power Home Remodeling|GA|1|2|238|476000|233030708|'Power Home Remodeling Group LLC'|power home remodeling|false
Precision Manufacturing Group Inc|Precision Manufacturing Group Inc|MI|1|2|27|55378|833049373|'Precision Construction Services'|precision|false
Fidelity Roof Company|Fidelity Roof Company|CA|1|2|63|102159|941326440|'Fidelity Roof Co.'|fidelity roof|false
Preferred Management Corporation|Preferred Management Corporation|OK|1|2|34|70731|731312311|'Preferred Construction Services Inc.'|preferred|false
Watkins Roofing, Inc.|Watkins Roofing, Inc.|MO|1|2|53|92988|431003848|'Watkins Roofing Inc.'|watkins roofing|false
Gold Bond Building Products, LLC|National Gypsum Company|OK|1|2|90|189445|854331127|'National Gypsum Co.'|national gypsum|false
Allen Roofing & Siding, LLC.|Allen Roofing & Siding, LLC|MO|1|2|100|77136|881581570|'Allen Roofing & Siding'|allen roofing & siding|false
McDonnell Roofing Inc|McDonnell Roofing Inc|CA|1|2|27|39205|330992075|'McDonnell Roofing Inc.'|mcdonnell roofing|false
Edwards Roofing Company Inc|Edwards Roofing Company inc|FL|1|2|39|64675|591101925|'Edwards Roofing Co. Inc.'|edwards roofing|false
