company_name|ein|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024|pitchbook_list_website|pitchbook_list_company_name|top100_company_name|nrca_list_company_name|affinity_organizations_20250915_141926_company_name|osha_company_name|stripped_company_name
Allied Roofing Inc.|592690416|0|0|0|45|40|0|0|0|77640|69095|alliedroofinc.com|Allied Roofing, Inc.||Allied Roofing Inc.||Allied Roofing Inc.|allied roofing
Allied Roofing and Waterproofing Inc|141924381|49|0|0|0|0|73775|0|0|0|0||||||Allied Roofing and Waterproofing Inc|allied roofing & waterproofing
Alloy Architectural Solutions|824789224|0|12|15|0|0|0|17183|22012|0|0||||Alloy Architectural Solutions LLC||Alloy Architectural Solutions|alloy architectural
Allweather Roof|411536214|78|76|79|95|84|134248|129976|138402|165609|164902||||Allweather Roof||Allweather Roof|allweather roof
Allwine Roofing and Construction|731208349|0|23|0|0|0|0|35641|0|0|0||||Allwine Roofing||Allwine Roofing and Construction|allwine roofing
Almost Heaven Building Company|870875496|0|0|0|0|9|0|0|0|0|14027||||||Almost Heaven Building Company|almost heaven building
Alois Roofing & Sheet Metal, LLC|900130347|15|15|15|19|0|21094|25790|22068|29935|0||||||Alois Roofing & Sheet Metal, LLC|alois roofing & sheet metal
Alpha Omega Construction Group of Raleigh, Inc.|461848394|0|42|29|0|0|0|79714|48711|0|0||||||Alpha Omega Construction Group of Raleigh, Inc.|alpha omega construction group of raleigh
Alpha Omega Construction Group, Inc.|263212467|0|154|161|0|0|0|277343|299740|0|0||||||Alpha Omega Construction Group, Inc.|alpha omega
Alpine Roofing LTD.|832540987|33|33|30|37|34|70244|61500|54590|74128|69637|www.alpineroofing.net|Alpine Roofing (Commercial Services)||||Alpine Roofing LTD.|alpine roofing
Altres Inc. COMMERCIAL ROOFING   WATERPROOFING HAWAI|990302463|0|0|0|0|100|0|0|0|0|216537||||||Altres Inc. COMMERCIAL ROOFING   WATERPROOFING HAWAI|altres inc. commercial roofing waterproofing hawai
Alumni Roofing Co.|341865113|22|23|23|25|24|42416|44353|44434|44872|43699||||Alumni Roofing Company||Alumni Roofing Co.|alumni roofing
Am1 Roofing, Inc|931178887|0|65|0|0|0|0|95647|0|0|0||||||Am1 Roofing, Inc|am1 roofing
American Building Contractors|431924245|0|0|0|0|85|0|0|0|0|175691||||American Building Contractors Inc||American Building Contractors|american building
American Home Contractors, LLC|882217292|0|0|0|0|25|0|0|0|0|52600||||||American Home Contractors, LLC|american home
American Roofing & Industrial|853881453|0|0|0|32|0|0|0|0|27720|0||||||American Roofing & Industrial|american roofing & industrial
American Roofing & Metal Co., Inc.|741609768|110|82|0|0|92|185280|161708|0|0|181020|amerroofing.com|American Roofing & Metal Co.||American Roofing & Metal Co. Inc.||American Roofing & Metal Co., Inc.|american roofing & metal
American Roofing and Sheet Metal, Inc||19|0|0|0|0|35906|0|0|0|0||||American Roofing & Sheet Metal Inc.||American Roofing and Sheet Metal, Inc|american roofing & sheet metal
Ameridian Specialty Services, Inc.|311656022|0|0|0|26|0|0|0|0|50675|0||||||Ameridian Specialty Services, Inc.|ameridian specialty
Ampco Roofing||0|9|8|0|11|0|17855|16880|0|22690||||||Ampco Roofing|ampco roofing
Amundson Roofing, Inc|860891134|35|27|35|45|43|70000|56160|72800|91800|88500||||||Amundson Roofing, Inc|amundson roofing
Anderson Restoration, LLC|10917026|0|0|21|0|0|0|0|39468|0|0||||||Anderson Restoration, LLC|anderson restoration
Anderson Roofing & Repair||0|7|0|4|0|0|14000|0|8320|0||||||Anderson Roofing & Repair|anderson roofing & repair
Andy's Roofing Co Inc|770157073|0|0|0|0|20|0|0|0|0|41922||||Andy's Roofing Co. Inc.||Andy's Roofing Co Inc|andy's roofing
Antex Roofing, Inc.|741811103|66|0|0|0|0|73791|0|0|0|0||||||Antex Roofing, Inc.|antex roofing
Anthony Roofing Tecta America|362699848|71|82|85|58|56|127279|88800|141688|133298|115432||||Anthony Roofing Tecta America LLC||Anthony Roofing Tecta America|anthony roofing tecta america
Antilles Roofing Co., Inc.|660431773|38|36|28|23|27|60800|55240|43045|43490|46948||||||Antilles Roofing Co., Inc.|antilles roofing
Antis Roofing And Waterproofing|274099954|0|0|0|0|144|0|0|0|0|243518|||Antis Roofing & Waterproofing|Antis Roofing & Waterproofing LLC||Antis Roofing And Waterproofing|antis roofing & waterproofing
Apex Exteriors, Inc.|263707762|73|72|80|63|72|169551|147551|1589630|127137|151507||||||Apex Exteriors, Inc.|apex exteriors
Apex Paramedics|473703650|0|0|119|0|0|0|0|238160|0|0||||||Apex Paramedics|apex paramedics
Apollo Primm Atlanta|582065838|25|35|30|0|30|48783|60783|64748|0|67023||||||Apollo Primm Atlanta|apollo primm atlanta
Apollo Primm Southeast, Inc.|581593768|0|0|12|11|0|0|0|24337|13119|0||||||Apollo Primm Southeast, Inc.|apollo primm southeast
Apple Roofing, LLC|161198739|39|33|51|37|239|66601|56371|62817|66471|492850|www.appleroof.com|Apple Roofing (Roofing Services)||Apple Roofing Corp.||Apple Roofing, LLC|apple roofing
Applied Roofing Solutions, Inc.|453595919|26|21|26|27|32|56741|51255|61646|63606|73255|www.appliedroofingservices.com|Applied Roofing Services||Applied Roofing Systems Inc.||Applied Roofing Solutions, Inc.|applied roofing
Arapahoe Roofing and Sheet Metal, Inc.|840633163|127|110|135|148|183|238160|193498|238160|330740|298710||||Arapahoe Roofing & Sheet Metal Inc.||Arapahoe Roofing and Sheet Metal, Inc.|arapahoe roofing & sheet metal
Arch Electric, Inc||0|0|0|49|0|0|0|0|95612|0||||||Arch Electric, Inc|arch electric
Archer Exteriors, Inc|223032214|56|72|83|65|155|108117|137249|165149|120182|308766||||||Archer Exteriors, Inc|archer exteriors
Architectural Sheet Metal, Inc.|593178660|0|0|34|0|0|0|0|74622|0|0||||Architectural Sheet Metal Inc.||Architectural Sheet Metal, Inc.|architectural sheet metal
Architectural Sheet Metal, L.L.C|61392043|0|0|25|25|0|0|0|44602|46002|0||||||Architectural Sheet Metal, L.L.C|architectural sheet metal l.l.c
Architectural Siding, Trim and Roofing, Inc.|341941719|0|0|0|22|59|0|0|0|44766|81950||||||Architectural Siding, Trim and Roofing, Inc.|architectural siding trim & roofing
Arizona Construction LLC|454341275|0|0|0|25|0|0|0|0|52000|0||||||Arizona Construction LLC|arizona
Arizona Foam & Spray, Inc|860256516|0|0|0|37|35|0|0|0|87282|38181||||||Arizona Foam & Spray, Inc|arizona foam & spray
Ark Commercial Roofing Inc|912054793|0|0|0|24|0|0|0|0|19013|0||||||Ark Commercial Roofing Inc|ark commercial roofing
