id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char
2860520,1500,213420,251194990,CentiMark Corporation,4315 Sarellen Rd.,Richmond,VA,23231,238160,2012,Roofing contractors,1,21,61,101572,1,0,0,2,0,0,24,2,0,0,0,0,0,05MAR25:16:03:00,,2024,Construction,23231,238160
2860514,1800,213485,251194990,CentiMark Corporation,101 Brick Kiln Rd.,Chelmsford,MA,01824,238160,2012,Roofing contractors,1,21,71,115498,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:16:02:00,,2024,Construction,01824,238160
2791220,"Kalkreuth Roofing & Sheet Metal, Inc.",213495,550647319,"Kalkreuth Roofing & Sheet Metal, Inc.",53-14th Street,Wheeling,WV,26003,238160,2012,Roofing contractors,1,22,180,348252,1,0,3,0,3,196,46,6,0,0,0,0,0,28FEB25:21:34:00,,2024,Construction,26003,238160
2860509,1900,213540,251194990,CentiMark Corporation,105 Sylvania PL,South Planfield,NJ,07080,238160,2012,Roofing contractors,1,21,86,149847,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:15:59:00,,2024,Construction,07080,238160
2860468,2100,213599,251194990,CentiMark Corporation,4665 Allen Rd.,Stow,OH,44224,238160,2012,Roofing contractors,1,21,45,47864,1,0,1,0,0,120,0,1,0,0,0,0,0,05MAR25:15:37:00,,2024,Construction,44224,238160
2860467,2200,213628,251194990,CentiMark Corporation,319 Industrial Dr.,Franklin,OH,45005,238160,2012,Roofing contractors,1,21,34,54360,1,0,0,0,1,0,0,1,0,0,0,0,0,05MAR25:15:36:00,,2024,Construction,45005,238160
2860465,2210,213718,251194990,CentiMark Corporation,6201 Sable Mill Ct.,JEFFERSONVILLE,IN,47130,238160,2012,Roofing contractors,1,21,60,53098,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:15:35:00,,2024,Construction,47130,238160
2742432,"Silktown Roofing, Inc./Manchester CT",213740,061350674,"Silktown Roofing, Inc.",27 Pleasant Street,Manchester,CT,06040,238160,2012,Roofing contractors,1,21,80,163934,1,0,1,4,1,2,63,6,0,0,0,0,0,25FEB25:20:25:00,,2024,Construction,06040,238160
2860462,2220,213762,251194990,CentiMark Corporation,6060 Tussing Rd.,Reynoldsburg,OH,43068,238160,2012,Roofing contractors,1,21,37,73964,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:15:34:00,,2024,Construction,43068,238160
2860456,2250,213805,251194990,CentiMark Corporation,3335 Kayenta Ct.,INDIANAPOLIS,IN,46226,238160,2012,Roofing contractors,1,21,45,83020,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:15:32:00,,2024,Construction,46226,238160
2860349,2300,213868,251194990,CentiMark Corporation,3601 Lake St.,KALAMAZOO,MI,49048,238160,2012,Roofing contractors,1,21,28,44752,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:14:50:00,,2024,Construction,49048,238160
2860437,2400,213909,251194990,CentiMark Corporation,6330 Commerce Dr.,Westland,MI,48185,238160,2012,Roofing contractors,1,21,31,50078,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:15:25:00,,2024,Construction,48185,238160
2860430,2600,213948,251194990,CentiMark Corporation,200 Corporate Dr.,Elgin,IL,60123,238160,2012,Roofing contractors,1,21,65,105946,1,0,0,0,1,0,0,1,0,0,0,0,0,05MAR25:15:23:00,,2024,Construction,60123,238160
2742229,"Silktown Roofing, Inc./Derby CT",213998,061350674,"Silktown Roofing, Inc.",151 Water Street,Derby,CT,06418,238160,2012,Roofing contractors,1,21,40,93486,1,0,0,1,1,0,12,2,0,0,0,0,0,25FEB25:20:15:00,,2024,Construction,06418,238160
2860423,2630,214099,251194990,CentiMark Corporation,2155 SE 37th St.,Grimes,IA,50111,238160,2012,Roofing contractors,1,1,17,27468,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:15:22:00,,2024,Construction,50111,238160
2860417,2650,214129,251194990,CentiMark Corporation,4960 S 2nd St.,Milwaukee,WI,53207,238160,2012,Roofing contractors,1,21,28,49036,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:15:20:00,,2024,Construction,53207,238160
2805500,Springfield Office,214141,042630303,"Titan Roofing, Inc.",200 Tapley Street,Springfield,MA,01104,238160,2012,Roofing contractors,1,22,85,169038,1,0,3,0,1,285,0,4,0,0,0,0,0,28FEB25:17:08:00,,2024,Construction,01104,238160
2742138,"Silktown Roofing, Inc.-North/Douglas, MA",214156,061350674,"Silktown Roofing, Inc.",100 Davis Street,Douglas,MA,01516,238160,2012,Roofing contractors,1,21,25,31324,2,0,0,0,0,0,0,0,0,0,0,0,0,25FEB25:20:09:00,,2024,Construction,01516,238160
2860414,2700,214173,251194990,CentiMark Corporation,14752 W 107th St.,Lenexa,KS,66215,238160,2012,Roofing contractors,1,21,52,71330,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:15:18:00,,2024,Construction,66215,238160
2860402,2701,214216,251194990,CentiMark Corporation,10425 J St.,Omaha,NE,68127,238160,2012,Roofing contractors,1,21,33,54625,1,0,0,1,0,0,174,1,0,0,0,0,0,05MAR25:15:13:00,,2024,Construction,68127,238160
2788595,Webster,214224,042630303,"Titan Roofing, Inc.",28 Town Forest Rd,Webster,MA,01570,238160,2012,Roofing contractors,1,1,3,7544,2,0,0,0,0,0,0,0,0,0,0,0,0,27FEB25:20:04:00,,2024,Construction,01570,238160
2860410,2800,214295,251194990,CentiMark Corporation,306 Hazelwood Logistics Center Dr.,Hazelwood,MO,63042,238160,2012,Roofing contractors,1,21,34,55088,1,0,0,1,1,0,23,2,0,0,0,0,0,05MAR25:15:17:00,,2024,Construction,63042,238160
2788650,New Haven Office,214354,042630303,"Titan Roofing, Inc.",110 Whitney Avenue,New Haven,CT,06510,238160,2012,Roofing contractors,1,1,9,13864,2,0,0,0,0,0,0,0,0,0,0,0,0,27FEB25:20:07:00,,2024,Construction,06510,238160
2788562,Syracuse Office,215387,042630303,"Titan Roofing, Inc.",6720 Commerce Blvd,Syracuse,NY,13211,238160,2012,Roofing contractors,1,21,24,47935,2,0,0,0,0,0,0,0,0,0,0,0,0,27FEB25:20:02:00,,2024,Construction,13211,238160
2860361,2900,215465,251194990,CentiMark Corporation,401 Technology Dr.,Canonsburg,PA,15317,238160,2012,Roofing contractors,1,21,53,76629,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:14:52:00,,2024,Construction,15317,238160
2860345,2910,215524,251194990,CentiMark Corporation,2170 Union Rd.,West Seneca,NY,14224,238160,2012,Roofing contractors,1,21,36,55404,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:14:49:00,,2024,Construction,14224,238160
2860340,3450,215578,251194990,CentiMark Corporation,671 South Rowlett St.,Collierville,TN,38017,238160,2012,Roofing contractors,1,21,57,106486,1,0,0,1,1,0,25,2,0,0,0,0,0,05MAR25:14:48:00,,2024,Construction,38017,238160
2860324,3600,215615,251194990,CentiMark Corporation,1625 Wallace Dr.,Carrollton,TX,75006,238160,2012,Roofing contractors,1,21,91,130988,1,0,1,0,3,180,0,4,0,0,0,0,0,05MAR25:14:42:00,,2024,Construction,75006,238160
