company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
Quality Roofing Solutions LLC|Quality Roofing Solutions LLC|43|72697|412227282|quality roofing|Quality Roofing|qroof.com||Quality Roofing Solutions LLC
R & C Roofing Inc|R & C Roofing Inc|150|290550|800628673|r & c roofing||||
R HAUPT ROOFING CONSTRUCTION INC.|R HAUPT ROOFING CONSTRUCTION INC.|19|28261|030413263|r haupt roofing||||
R&B Roofing LLC|R&B Roofing LLC|183|386374|571155052|r & b roofing||||R&B Roofing LLC
R&S Construction Services Inc.|R&S Construction Services Inc.|36|66476|061039729|r & s||||R&S Construction Services Inc.
R.B. Crowther Company, Inc.|R.B. Crowther Company, Inc.|17|29540|364352872|r.b. crowther||||
R.B. Hash & Associates, Inc.|R.B. Hash & Associates, Inc.|90|193172|760330682|r.b. hash||||R.B. Hash & Associates Inc.
R.G. Smith Company Inc.|R.G. Smith Company Inc.|30|39734|340664464|r.g. smith||||
R.K. Elite Hydrovac Services Inc. / NC|R.K. Elite Hydrovac Services Inc. / NC|44|93511|561387327|r.k. elite hydrovac services inc. / nc||||
RCH Roofing Corporation|RCH Roofing Corporation|87|196179|043386814|rch roofing|Rch Roofing Services|unknown||RCH Roofing Corp.
RH Marcon Inc.|RH Marcon Inc.|75|127671|251419769|rh marcon||||
RHI Construction Inc. RHI Roofing|RHI Construction Inc. RHI Roofing|114|222000|208575136|rhi construction inc. rhi roofing||||
RILEY ROOFING LLC|RILEY ROOFING LLC|19|15614|833656009|riley roofing||||
RL Craft Co., Inc.|RL Craft Co., Inc.|35|65733|421528139|rl craft||||
RLB CONSTRUCTION LTD - ROOFTEC|RLB CONSTRUCTION LTD - ROOFTEC|26|52101|760472889|rlb construction ltd - rooftec||||
ROGERS ROOFING|ROGERS ROOFING|43|68810|922575487|rogers roofing||||
ROOF KING ROOFING INC|ROOF KING ROOFING INC|67|42613|453969998|roof king roofing||||
ROOF-IT-RIGHT, LLC|ROOF-IT-RIGHT, LLC|23|41790|270461379|roof-it-right||||
RSI of Florida, LLC|RSI of Florida, LLC|40|80928|592574965|rsi of florida||||RSI of Florida Inc.
RSS Nashville Inc.|RSS Nashville Inc.|53|100079||rss nashville||||
RSSI Roofing Company|RSSI Roofing Company|61|109663|274644285|rssi roofing||||RSSI Roofing Company
RTS Roofing Inc|RTS Roofing Inc|25|36640|391776632|rts roofing||||
RYCO Contracting LLC|RYCO Contracting LLC|26|46609|461115324|ryco contracting||||
Rackley Company|Rackley Company|55|143337|621664861|rackley||||
Rackley Roofing Co Inc|Rackley Roofing Co Inc|93|244060|620932570|rackley roofing|Rackley Roofing|www.rackleyroofing.com|Rackley Roofing Company, Inc.|Rackley Roofing Co. Inc.
Radco Construction Services, Inc.|Radco Construction Services, Inc.|89|265156|561599261|radco||||Radco Construction Services
Rain King, Inc.|Rain King, Inc.|72|140571|742775327|rain king||||Rain King Inc.
Rainbow Roofing Co., Inc.|Rainbow Roofing Co., Inc.|12|22117||rainbow roofing||||
Rainy Day Roofing Inc.|Rainy Day Roofing Inc.|37|60473|453798233|rainy day roofing||||
Ralph Jones Sheet Metal, Inc.|Ralph Jones Sheet Metal, Inc.|35|51236|621043226|ralph jones sheet metal||||
Ramcon Roofing|Ramcon Roofing|145|207127|510420078|ramcon roofing||||
Rayco Roof Service, Inc.|Rayco Roof Service, Inc.|19|33191|541142276|rayco roof service||||Rayco Roof Service Inc.
Ready Roofing, LLC|Ready Roofing, LLC|32|66119|822501272|ready roofing||||
Ream Roofing Associates, LLC|Ream Roofing Associates, LLC|68|129746|232801208|ream roofing||||Ream Roofing Associates Inc.
Reconstruction Experts Inc.|Reconstruction Experts Inc.|104|211172|592324798|reconstruction experts||||
Recovery Roofing Inc|Recovery Roofing Inc|25|61248|843651605|recovery roofing||||Recovery Roofing Inc.
Red Mountain Roofing LLC|Red Mountain Roofing LLC|33|72977|271463701|red mountain roofing||||
Red Pointe Roofing, LP|Red Pointe Roofing, LP|133|281620|900957014|red pointe roofing||||Red Pointe Roofing
Red Sky, Inc|Red Sky, Inc|25|41320|202070268|red sky||||
Redd Roofing and Construction|Redd Roofing and Construction|132|276589|870310391|redd roofing||||Redd Roofing Co. Inc.
Regan Roofing, Inc.|Regan Roofing, Inc.|91|190186|460628528|regan roofing||||
Reliance Roofing and Waterproofing, Inc.|Reliance Roofing and Waterproofing, Inc.|35|64448|462992114|reliance roofing & waterproofing||||Reliance Roofing & Waterproofing, Inc.
Renco Roofing|Renco Roofing|65|133107||renco roofing|RENCO Roofing|rencoroofing.com||RENCO Roofing
Resnick Roofing & Contracting|Resnick Roofing & Contracting|47|109980|932058239|resnick roofing & contracting||||
Restoration Services Inc.|Restoration Services Inc.|113|196643|760044493|restoration||||Restoration Services Inc.
Rey Crest Roofing and Waterproofing|Rey Crest Roofing and Waterproofing|35|78750|953057325|rey crest roofing & waterproofing||||
Reyes Group Generla Construction|Reyes Group Generla Construction|45|87688|201542316|reyes group generla||||
Richard L Sensenig Co.|Richard L Sensenig Co.|64|132151|231663036|richard l sensenig||||
Rio Roofing, Inc.|Rio Roofing, Inc.|42|90350|742427440|rio roofing||||Rio Roofing Inc.
Rite-Way Roof Corporation|Rite-Way Roof Corporation|50|67769|330978921|rite-way roof||||Rite-Way Roof Corporation
River City Roofing|River City Roofing|16|15257|200703878|river city roofing||||River City Roofing Co. Inc.
River Roofing Inc.|River Roofing Inc.|39|92693|931046398|river roofing||||River Roofing Inc.
Roberts Roofing|Roberts Roofing|22|42000||roberts roofing||||Roberts Roofing Co. Inc.
Roberts-McNutt|Roberts-McNutt|31|37461|007104023|roberts-mcnutt||||
Robust Roof, LLC|Robust Roof, LLC|8|16000|921308824|robust roof||||
Roman Roofing, Inc.|Roman Roofing, Inc.|312|624000|473093920|roman roofing|Roman Roofing|www.romanroofing.com|Roman Roofing|
Roof Asset Management Inc.|Roof Asset Management Inc.|54|105429|812728224|roof asset||||Roof Asset Management Inc.
Roof Check Inc|Roof Check Inc|65|115620|841035057|roof check||||Roof Check Inc.
Roof Control Services, Inc|Roof Control Services, Inc|45|81681||roof control||||
Roof Depot|Roof Depot|138|287040|582385323|roof depot||||
Roof Maintenance Systems|Roof Maintenance Systems|16|27763|222016917|roof maintenance||||Roof Maintenance Systems
Roof Rite|Roof Rite|105|37663||roof rite||||Roof Rite Inc.
Roof Systems of Maine, A Tecta America Company, LLC|Roof Systems of Maine, A Tecta America Company, LLC|46|76996|811305084|roof systems of maine a tecta america||||Roof Systems of Maine a Tecta America Company
Roof Tech, Inc.|Roof Tech, Inc.|29|42192||roof tech||||Roof Tech Inc.
Roof Technologies, LLC|Roof Technologies, LLC|40|85185|721176990|roof|Roof Services (New York)|www.roofservices.com||Roof Technologies LLC
Roof Tile Specialists|Roof Tile Specialists|400|2300000|850531306|roof tile specialists||||
Roof Top Innovations|Roof Top Innovations|10|2080|813785769|roof top innovations||||
Roof toppers|Roof toppers|65|114745|911607565|roof toppers||||Roof Toppers Inc.
RoofOptions LLC|RoofOptions LLC|80|165818|900195289|roofoptions||||
Roofcare Service Center, LLC|Roofcare Service Center, LLC|70|143597|823420143|roofcare service center||||
Roofcrafters, Inc|Roofcrafters, Inc|25|52497|202771976|roofcrafters||||
Roofing & Renovation of Florida, LLC|Roofing & Renovation of Florida, LLC|24|62581|454000879|roofing & renovation of florida||||
Roofing Concepts LLC|Roofing Concepts LLC|42|68111|823859676|roofing concepts||||Roofing Concepts LLC
Roofing Solutions, LLC|Roofing Solutions, LLC|81|168480|200737604|roofing|Roofing Solutions.|www.roofingsolutionstn.com||Roofing Systems Inc.
Roofing Unlimited & Sheet Metal, Inc.|Roofing Unlimited & Sheet Metal, Inc.|40|76240||roofing unlimited & sheet metal||||
Roofing by Curry|Roofing by Curry|178|391120|650847999|roofing by curry|Roofing by Curry|roofingbycurry.com||Roofing by Curry
RoofingSource|RoofingSource|134|296914|363620654|roofingsource||||RoofingSource
Rooflynx LLC|Rooflynx LLC|18|42550|850681649|rooflynx||||RoofLynx
Roofmasters Roofing & Sheet Metal|Roofmasters Roofing & Sheet Metal|45|91123|481148084|roofmasters roofing & sheet metal||||
Roofs, Inc.|Roofs, Inc.|13|20265|362874756|roofs||||Roofs Inc.
Rosedale Roofing Company, Inc.|Rosedale Roofing Company, Inc.|133|310935|520998967|rosedale roofing||||
Rosenquist Construction|Rosenquist Construction|21|36674|411725965|rosenquist||||Rosenquist Construction Inc.
Rosscrete Roofing, Inc.|Rosscrete Roofing, Inc.|20|20861|330740595|rosscrete roofing||||
Royal-West Roofing & Sheet Metal|Royal-West Roofing & Sheet Metal|15|23996||royal-west roofing & sheet metal||||
Royalty Roofing, Inc.|Royalty Roofing, Inc.|197|540627|933047998|royalty roofing|Royalty Roofing|www.royaltyroofing.com||Royalty Roofing Co. Inc.
Russ Noyes Roofing Inc|Russ Noyes Roofing Inc|15|31253|201516607|russ noyes roofing||||
Russell Roofing Inc.|Russell Roofing Inc.|32|67157|232680214|russell roofing||||Russell Roofing Co. Inc.
S&L Roofing and Sheetmetal|S&L Roofing and Sheetmetal|27|33984|141817291|s & l roofing & sheetmetal||||
S. Petersburg, FL|S. Petersburg, FL|37|71856|832750109|s. petersburg fl||||
S.G.O. Roofing & Construction, LLC|S.G.O. Roofing & Construction, LLC|15|14716|411990384|s.g.o. roofing||||
SALTY ROOFING AND SHEET METAL INC|SALTY ROOFING AND SHEET METAL INC|46|78886|920289744|salty roofing & sheet metal||||
SEVELEN, INC.|SEVELEN, INC.|39|81374|760386934|sevelen||||
SGK Enterprises Inc.|SGK Enterprises Inc.|124|235679|301209237|sgk||||
SJT Orlando LLC|SJT Orlando LLC|20|41600|862435521|sjt orlando||||
SNR Global LLC.|SNR Global LLC.|400|8700|821272785|snr||||
SOUTHEAST ROOFING  CONSTRUCTION INC|SOUTHEAST ROOFING  CONSTRUCTION INC|23|23905|270863598|southeast roofing||||Southeast Roofing Solutions Inc.
SOUTHERN COATINGS, INC.|SOUTHERN COATINGS, INC.|38|62110|591205069|southern coatings||||
SQI, INC.|SQI, INC.|28|50365|910880444|sqi||||SQI Inc. (SQI Commercial Roofing and Sheet Metal)
SRC ROOFING INC|SRC ROOFING INC|26|48584|043007194|src roofing||||
STERLING CONSTRUCTION CONTRACTORS LLC|STERLING CONSTRUCTION CONTRACTORS LLC|84|140479|813262093|sterling||||
STRAIGHT EDGE ROOFING INC.|STRAIGHT EDGE ROOFING INC.|27|45100|475353491|straight edge roofing||||
STRATUS CONSTRUCTION  ROOFING, LLC|STRATUS CONSTRUCTION  ROOFING, LLC|30|54174|474208903|stratus construction roofing||||
SUPERIOR ONE ROOFING, INC.|SUPERIOR ONE ROOFING, INC.|45|57678|830562852|superior one roofing||||
SVR, INC.|SVR, INC.|19|20654|453715993|svr||||
Salomon Construction & Roofing Corp|Salomon Construction & Roofing Corp|32|61125|651054136|salomon construction & roofing||||
Salvo Architectural Roofing Contractors|Salvo Architectural Roofing Contractors|32|71543|453699589|salvo architectural roofing||||
San Carlos Roofing|San Carlos Roofing|25|23312|200469791|san carlos roofing||||
Scalo Inc.|Scalo Inc.|38|67752|232885490|scalo||||Scalo Incorporated
Scalo Solar|Scalo Solar|9|15617|273676425|scalo solar||||
Schefers Construction Services|Schefers Construction Services|2|1321|202556779|schefers||||
Schefers Roofing Co.|Schefers Roofing Co.|77|150465|431715763|schefers roofing||||Schefers Roofing Co.
Schena Roofing|Schena Roofing|113|218175|381895735|schena roofing||||
Schick Roofing, LLC|Schick Roofing, LLC|14|24423|274076888|schick roofing||||
Schrader Roofing Company of Lubbock|Schrader Roofing Company of Lubbock|42|99380|844226779|schrader roofing company of lubbock||||
Schreiber Corporation|Schreiber Corporation|171|364674|381654067|schreiber||||
Schulte Roofing|Schulte Roofing|27|57499|810555670|schulte roofing||||Schulte Roofing Inc.
Schultheis Roofing|Schultheis Roofing|45|80306|251653339|schultheis roofing||||Schultheis Roofing Inc.
Schwickerts Tecta America|Schwickerts Tecta America|186|404007|411362395|schwickerts tecta america||||
Scott Enterprises, Inc.|Scott Enterprises, Inc.|20|42607|161467920|scott||||Scott Enterprises Inc.
Scott Roofing Company|Scott Roofing Company|44|91520|860492261|scott roofing||||
Scott Smith Roofing Inc|Scott Smith Roofing Inc|21|39955|592777971|scott smith roofing||||
Security-Luebke Roofing Inc.|Security-Luebke Roofing Inc.|191|418024|462614838|security-luebke roofing||||Security-Luebke Roofing, Inc.
Service Roofing Company|Service Roofing Company|23|32158|420895028|service roofing||||Service Roofing Co.
Service Roofing and Sheet Metal|Service Roofing and Sheet Metal|30|58305|562247976|service roofing & sheet metal||||Service Roofing & Sheet Metal Company
Service Works Commerical Roofing LLC|Service Works Commerical Roofing LLC|77|175353|223917952|service works commerical roofing||||
Service Works of Fort Lauderdale|Service Works of Fort Lauderdale|29|54770|223917952|service works of fort lauderdale||||
Shanco Companies LLC|Shanco Companies LLC|5|11757|743062023|shanco companies||||
Shay Roofing INC.|Shay Roofing INC.|65|99555|371298422|shay roofing||||Shay Roofing Inc.
Sherriff-Goslin Company|Sherriff-Goslin Company|157|233409||sherriff-goslin||||Sherriff-Goslin Co.
Showalter Roofing Services, Inc.|Showalter Roofing Services, Inc.|23|43541|363132849|showalter roofing||||Showalter Roofing Services
Sierra Roofing and Solar|Sierra Roofing and Solar|52|102900|571143041|sierra roofing & solar||||
Sierra Single Ply, Inc.|Sierra Single Ply, Inc.|40|85424|680297935|sierra single ply||||Sierra Single Ply Inc.
Sika Corporation|Sika Corporation|29|60130|221594831|sika||||
Silicone Distributors, Inc.|Silicone Distributors, Inc.|30|37393|670257993|silicone distributors||||
Silktown Roofing, Inc.|Silktown Roofing, Inc.|145|288744|061350674|silktown roofing||||Silktown Roofing Inc.
Simon Roofing and Sheet Metal|Simon Roofing and Sheet Metal|526|1095012|341430114|simon roofing & sheet metal||||Simon Roofing & Sheet Metal Corp.
Simpson Unlimited Inc.|Simpson Unlimited Inc.|181|344595|541771632|simpson unlimited||||Simpson Unlimited, Inc.
Sky Light Roofing, Inc|Sky Light Roofing, Inc|44|90021|451283839|sky light roofing||||
Skyline Roofing|Skyline Roofing|36|25782|842129081|skyline roofing|Skyline Roofing Partners|www.skylineroofingpartners.com||Skyline Roofing Services LLC
Skywalker Roofing LLC|Skywalker Roofing LLC|36|72031|922563752|skywalker roofing||||
Skyway Roofing, Inc.|Skyway Roofing, Inc.|46|73897|141763964|skyway roofing||||Skyway Roofing Inc.
Smart Roofing, Inc.|Smart Roofing, Inc.|12|11000|363902208|smart roofing||||Smart Roofing Inc.
Snyder Roofing of Oregon|Snyder Roofing of Oregon|111|229244|931270887|snyder roofing of oregon||||
Solar Energy Solutions|Solar Energy Solutions|68|170046|204967967|solar energy||||
Solutions General Contractors Inc|Solutions General Contractors Inc|70|47167|465318778|solutions general||||
SonRay Solar, Inc.|SonRay Solar, Inc.|147|266581|263838351|sonray solar||||
South Central Roofing, Inc.|South Central Roofing, Inc.|18|32589|352087207|south central roofing||||South Central Roofing Inc.
South Peak Holdings, LLC|South Peak Holdings, LLC|43|50029|811624515|south peak||||
Southern Coast Enterprises, Inc.|Southern Coast Enterprises, Inc.|60|129560|650417787|southern coast||||
Southern Roofing Company, Inc.|Southern Roofing Company, Inc.|45|96698|593711033|southern roofing|Southern Roofing Company|www.srctn.com||Southern Roofing Services Inc.
Southern Roofing and Renovations|Southern Roofing and Renovations|400|4160000|821272785|southern roofing & renovations|Southern Roofing and Renovations|www.southernrnr.com||
Southwest Distributing Company|Southwest Distributing Company|13|19298|952777766|southwest distributing||||
Southwestern Roofing & Metal, Inc.|Southwestern Roofing & Metal, Inc.|67|122042|731020260|southwestern roofing & metal||||
Spann Roofing & Sheet Metal, Inc.|Spann Roofing & Sheet Metal, Inc.|76|156280|570373011|spann roofing & sheet metal|Spann Roofing & Sheet Metal|spannroofing.com||Spann Roofing & Sheet Metal Inc.
Specialty Home Products|Specialty Home Products|13|21324|263805750|specialty home products||||
Specialty Roofing LLC|Specialty Roofing LLC|10|15296|465379067|specialty roofing|Specialty Roofing|www.specialty-exteriors.com||Specialty Roofing Inc.
Spigarelli Cos|Spigarelli Cos|65|94084|460776064|spigarelli cos||||
Sprayfoam Southwest     Global Roofing Group|Sprayfoam Southwest     Global Roofing Group|20|41600|860254394|sprayfoam southwest global roofing||||
Sprayfoam Southwest Inc|Sprayfoam Southwest Inc|548|931124|860254394|sprayfoam southwest||||
Spring Sheet Metal & Roofing, LLC|Spring Sheet Metal & Roofing, LLC|40|69333|814111885|spring sheet metal & roofing||||Spring Sheet Metal & Roofing, LLC
Sta Dry Roofing|Sta Dry Roofing|35|65367|582275369|sta dry roofing||||
Standard Business Holdings  LLC|Standard Business Holdings  LLC|89|170220|851510647|standard business||||
Standard/Taylor Industries, Inc.|Standard/Taylor Industries, Inc.|41|88734|630398161|standard/taylor||||
Stanfield Roofing Inc.|Stanfield Roofing Inc.|40|62013|261654670|stanfield roofing||||
Stanley Roofing Company, Inc.|Stanley Roofing Company, Inc.|45|82476|042557677|stanley roofing||||Stanley Roofing Co. Inc.
Star Improvements, Inc|Star Improvements, Inc|41|79439|161519703|star improvements||||
Star Roofing, Inc.|Star Roofing, Inc.|50|131118|860116261|star roofing||||
Starkweather Roofing Inc|Starkweather Roofing Inc|108|217960|860843434|starkweather roofing||||
State Roofing Systems Inc|State Roofing Systems Inc|90|187200|942743961|state roofing||||State Roofing Systems Inc.
Stephens Painting Inc.|Stephens Painting Inc.|43|91808|752641834|stephens painting||||
Sterling Commercial Roofing, A Tecta America Company, LLC|Sterling Commercial Roofing, A Tecta America Company, LLC|156|309557|262635202|sterling commercial roofing a tecta america||||
Stiles Roofing Inc|Stiles Roofing Inc|35|60703|431228600|stiles roofing||||Stiles Roofing Inc.
