company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
Barber & Associates, Inc & Roof Decks LLC|Barber & Associates, Inc & Roof Decks LLC|116|227388|591795105|barber & associates inc & roof decks||||
Barry Roofing, Inc.|Barry Roofing, Inc.|41|93832|363881184|barry roofing||||
Bartch Roofing Co., Inc.|Bartch Roofing Co., Inc.|25|62495|431132731|bartch roofing||||Bartch Roofing Co. Inc.
Barth Roofing Company, Inc|Barth Roofing Company, Inc|30|69739|710974022|barth roofing||||
Bartlett Homes & Roofing LLC|Bartlett Homes & Roofing LLC|208|425640|473524614|bartlett homes & roofing||||
Bates Roofing LLC|Bates Roofing LLC|19|29782|204619351|bates roofing||||
Beachside Roofing, LLC|Beachside Roofing, LLC|151|207045|611441824|beachside roofing||||Beachside Roofing LLC
Belcher Roofing Corporation|Belcher Roofing Corporation|69|113214|232293264|belcher roofing||||
Beldon Roofing & Remodeling Co|Beldon Roofing & Remodeling Co|147|433725|741316691|beldon roofing & remodeling|Beldon Roofing & Remodeling|www.beldon.com||
Bell Roof Co|Bell Roof Co|42|71210|951620634|bell roof||||Bell Roof Co.
Benton Roofing Inc.|Benton Roofing Inc.|92|192629|561804291|benton roofing|||Benton Roofing|
Berwald Roofing Company, Inc.|Berwald Roofing Company, Inc.|220|395542|410885923|berwald roofing||||Berwald Roofing Co.
Best Choice Roofing|Best Choice Roofing|155|6750|272049688, 814545974, 831826285, 843147814, 852941114|best choice roofing|||Best Choice Roofing|
Best Roofing Services, LLC|Best Roofing Services, LLC|362|520120|452411210|best roofing|Best Roofing|www.bestroofing.net||Best Roofing Company
Bi-State Roof Systems, Inc.|Bi-State Roof Systems, Inc.|16|22299|431399821|bi-state roof||||Bi-State Roof Systems Inc.
Bigfoot Roofing & Construction|Bigfoot Roofing & Construction|22|45600|452492305|bigfoot roofing|Bigfoot Roofing & Construction|www.bigfootroofing.com||
Bill Hamilton Roofing Inc.|Bill Hamilton Roofing Inc.|111|230675|203795052|bill hamilton roofing||||
Bird & Bear Services, Inc.|Bird & Bear Services, Inc.|11|24298||bird & bear||||
Birdair, Inc.|Birdair, Inc.|40|84016|161244477|birdair||||
Birmingham & Associates, Inc.|Birmingham & Associates, Inc.|61|120927|631180911|birmingham||||
Bishop, Inc.|Bishop, Inc.|90|107123|330948007|bishop||||
Black Hawk Roof Co.|Black Hawk Roof Co.|55|129480|421405570|black hawk roof||||Black Hawk Roof Co. Inc.
Black Hills Roofing|Black Hills Roofing|33|54080|460415284|black hills roofing||||
Black Roofing & Waterproofing|Black Roofing & Waterproofing|63|124390||black roofing & waterproofing||||
Bloom Roofing Systems Inc.|Bloom Roofing Systems Inc.|98|188898||bloom roofing||||Bloom Roofing Systems Inc.
Blue Chip Roofing & Waterproofing, LLC|Blue Chip Roofing & Waterproofing, LLC|43|81551|834489975|blue chip roofing & waterproofing||||
Blue Frog Roofing|Blue Frog Roofing|28|54880||blue frog roofing||||
Blue Vision Roofing Inc|Blue Vision Roofing Inc|23|52748|831022515|blue vision roofing||||
Bluebird Construction, LLC|Bluebird Construction, LLC|45|92002|272160997|bluebird||||
Boak & Sons, Inc.|Boak & Sons, Inc.|141|241700|341368121|boak & sons||||Boak & Sons Inc.
Bone Dry Commercial Roofing, Inc.|Bone Dry Commercial Roofing, Inc.|83|130901|850946832|bone dry commercial roofing||||
Bone Dry Roofing Florida, Inc.|Bone Dry Roofing Florida, Inc.|73|129731|853199207|bone dry roofing florida||||
Bone Dry Roofing Inc|Bone Dry Roofing Inc|2|1280|351883225|bone dry roofing|Bone Dry Roofing|bonedry.com|Bone Dry Roofing|Bone Dry Roofing Inc.
