establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
|Centre Point Roofing Services||||||||centre point roofing|false
CertainTeed Corporation Williamsport Maryland|CertainTeed||1.00|3.00|304.00|576998.00||'CertainTeed Corporation'|certainteed|true
Millwork & Panel LLC- Social Circle|CertainTeed||1.00|2.00|51.00|95063.00|320613145|'CertainTeed LLC'|certainteed|true
RPG Shakopee|CertainTeed||1.00|3.00|260.00|507478.00||'CertainTeed LLC'|certainteed|true
CertainTeed, LLC|CertainTeed||1.00|3.00|284.00|615348.00|232510893|'CertainTeed, LLC'|certainteed|true
CertainTeed Jonesburg|CertainTeed||1.00|2.00|146.00|359465.00|232510893|'CertainTeed'|certainteed|true
CertainTeed - Avery|CertainTeed||1.00|2.00|200.00|394526.00|232510893|'CertainTeed LLC'|certainteed|true
CertainTeed-Orem|CertainTeed||1.00|2.00|80.00|191143.00|232510893|'CertainTeed'|certainteed|true
CertainTeed, LLC|CertainTeed||1.00|2.00|137.00|285557.00|232510893|'CertainTeed'|certainteed|true
Siding Products Group, McPherson|CertainTeed||1.00|2.00|78.00|151281.00|320613145|'CertainTeed Corporation'|certainteed|true
CertainTeed|CertainTeed||1.00|2.00|69.00|117446.00|320613145|'CertainTeed'|certainteed|true
Saint-Gobain|CertainTeed||1.00|2.00|72.00|229046.00|232615166|'CertainTeed Corporation'|certainteed|true
Chowchilla|CertainTeed||1.00|2.00|169.00|340505.00|232510893|'CertainTeed Corporation'|certainteed|true
CertainTeed, LLC|CertainTeed||1.00|2.00|27.00|36817.00||'CertainTeed, LLC'|certainteed|true
|Certified Roofing General Contractors||||||||certified roofing general|false
|CFS Roofing Services||||||||cfs roofing|false
|Chamberlin Roofing & Waterproofing||||||||chamberlin roofing & waterproofing|false
|Chattanooga Roofing Contractors||||||||chattanooga roofing|false
Childers Roofing & Sheetmetal, Inc|Childers Roofing & Sheetmetal||1.00|2.00|64.00|90949.00|431992667|'Childers Roofing & Sheetmetal, Inc'|childers roofing & sheetmetal|false
|Choufani & Bailey Roofing & Restoration||||||||choufani & bailey roofing & restoration|false
