"id","company_name","establishment_name","ein","street_address","city","state","zip_code","naics_code","industry_description","annual_average_employees","total_hours_worked","no_injuries_illnesses","total_deaths","total_dafw_cases","total_djtr_cases","total_other_cases","total_dafw_days","total_djtr_days","total_injuries","total_poisonings","total_respiratory_conditions","total_skin_disorders","total_hearing_loss","total_other_illnesses","establishment_id","establishment_type","size","year_filing_for","created_timestamp","change_reason"
1371445,"Mid State Roofing Inc","Mid State Roofing Inc","202017040","205 Oak Drive","Lexington","SC","29073",238160," Roofing contractors ",25,44771,2,0,0,0,0,0,0,0,0,0,0,0,0,297439,1,2,2020,4/6/2021 17:10:17,
1371481,"Best Choice Roofing","Best Choice Roofing Southeast LLC","811527997","106 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",55,114400,1,0,1,0,1,10,0,2,0,0,0,0,0,746038,1,2,2020,4/6/2021 18:24:51,
1371482,"Best Choice Roofing","Best Choice Roofing Middle Tennessee LLC","831826285","107 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",82,170560,1,0,1,0,0,49,0,1,0,0,0,0,0,746039,1,2,2020,4/6/2021 18:24:52,
1371483,"Best Choice Roofing","Best Choice Roofing North LLC","814531753","108 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",14,29120,2,0,0,0,0,0,0,0,0,0,0,0,0,746040,1,1,2020,4/6/2021 18:24:53,
1371484,"Best Choice Roofing","Best Choice Roofing DC LLC","831562147","109 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",18,37440,1,0,0,0,1,0,0,1,0,0,0,0,0,746041,1,1,2020,4/6/2021 18:24:53,
1371485,"Best Choice Roofing","Bets Choice Roofing East LLC","843147814","110 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",24,87360,2,0,0,0,0,0,0,0,0,0,0,0,0,746042,1,2,2020,4/6/2021 18:24:54,
1371486,"Best Choice Roofing","Best Choice Roofing Tennessee LLC","814545974","111 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",9,18720,2,0,0,0,0,0,0,0,0,0,0,0,0,746043,1,1,2020,4/6/2021 18:24:55,
1371487,"Best Choice Roofing","Best Choice Roofing West Florida LLC","831250691","112 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",16,33280,1,0,0,0,1,0,0,1,0,0,0,0,0,746044,1,1,2020,4/6/2021 18:24:55,
1371488,"Best Choice Roofing","Best Choice Roofing Louisiana LLC","851138182","113 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",6,12480,2,0,0,0,0,0,0,0,0,0,0,0,0,746045,1,1,2020,4/6/2021 18:24:56,
1371489,"Best Choice Roofing","Best Choice Roofing Alabama LLC","830850148","114 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",18,37440,2,0,0,0,0,0,0,0,0,0,0,0,0,746046,1,1,2020,4/6/2021 18:24:57,
1371490,"Best Choice Roofing","Best Choice Roofing Jackson LLC","822916774","115 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",11,22880,2,0,0,0,0,0,0,0,0,0,0,0,0,746047,1,1,2020,4/6/2021 18:24:57,
1371501,"Best Choice Roofing","Best Choice Roofing and Home Improvement Incorporated","272049688","105 Hazel Path ","Hendersonville","TN","37075",238160,"Roofing Contractor ",180,374400,1,0,2,0,0,3,8,2,0,0,0,0,0,746037,1,2,2020,4/6/2021 18:24:51,
1372050,"Whip Mix Corporation","Whip Mix Corporation","610380760","361 Farmington Ave","Louisville","KY","40209",339114," Dental laboratory equipment manufacturing ",122,238160,1,0,0,0,1,0,0,1,0,0,0,0,0,628718,1,2,2020,4/8/2021 18:38:54,
1372114,"Jurin Roofing Services, Inc.","PA Corporate office","251891877","560 Seminary St.","Pennsburg","PA","18073",238160," Roofing contractors ",42,88640,1,0,1,3,0,4,187,4,0,0,0,0,0,202791,1,2,2020,4/8/2021 20:23:46,
1372134,"Valley Roofing & Exteriors","JI Construction DBA: Valley Roofing & Exteriors ","471602643","4910 Turner Rd Se STE 500 ","Salem","OR","97317",238160," Asphalt roof shingle installation ",34,67602,1,0,2,0,1,7,0,3,0,0,0,0,0,746313,1,2,2020,4/8/2021 21:59:34,
1372657,"PORT ENTERPRISES, LTD.","Port Enterprises, Ltd. - Corpus Christi","741975498","1955 Saratoga Blvd.","CORPUS CHRISTI","TX","784173402",238160," Low slope roofing installation ",40,114400,1,0,0,1,0,0,18,1,0,0,0,0,0,175508,1,2,2020,4/12/2021 22:19:07,
1372736,"Schefers Roofing Company","Schefers Roofing Company","113833862","2917 S First Street","Rogers","AR","72758",238160," Roll roofing installation ",34,61115,1,0,0,0,1,0,0,1,0,0,0,0,0,341374,1,2,2020,4/13/2021 15:02:30,
1372737,"SCHEFERS ROOFING","Schefers Construction Services","202556779","112 E AA HWY","Grain Valley","MO","64029",238160," Sheet metal roofing installation ",5,1214,2,0,0,0,0,0,0,0,0,0,0,0,0,341372,1,1,2020,4/13/2021 15:05:37,
1372738,"SCHEFERS ROOFING","SCHEFERS ROOFING","431715763","112 E AA HWY","Grain Valley","MO","64029",238160," Roll roofing installation ",55,101100,1,0,0,1,2,0,3,3,0,0,0,0,0,341368,1,2,2020,4/13/2021 15:07:37,
1372946,"Empire Roofing & Sheet Metal Inc","Empire Roofing & Sheet Metal Inc","831519734","14101 E 33rd Pl UNIT F","Aurora","CO","80011",238160," Sheet metal roofing installation ",26,30538,1,0,1,0,0,109,0,1,0,0,0,0,0,746700,1,2,2020,4/14/2021 16:28:00,
1372953,"Empire Roofing Companies Inc","Empire Roofing Companies Inc","752759310","16311 Central Commerce Dr, Pflugerville, TX 78660","Pflugerville","TX","78660",238160," Roofing contractors ",207,491398,2,0,0,0,0,0,0,0,0,0,0,0,0,746704,1,2,2020,4/14/2021 16:37:18,
1372955,"Empire Roofing Company of Georgia Inc","Empire Roofing Company of Georgia Inc","271811195","5040 Bakers Ferry Rd SW","Atlanta","GA","30336",238160," Roofing contractors ",27,60965,2,0,0,0,0,0,0,0,0,0,0,0,0,746707,1,2,2020,4/14/2021 16:47:45,
1372962,"Empire Roofing Company Southeast LLC","Empire Roofing Company Southeast LLC","261887467","4615 NW 103rd Ave","Sunrise","FL","33351",238160," Roofing contractors ",83,186714,2,0,0,0,0,0,0,0,0,0,0,0,0,746711,1,2,2020,4/14/2021 16:56:56,
1372964,"Empire Roofing of Oklahoma Inc","Empire Roofing of Oklahoma Inc","464038268","1709 E King Pl","Tulsa","OK","74110",238160," Roofing contractors ",45,111419,1,0,1,0,0,84,0,1,0,0,0,0,0,746712,1,2,2020,4/14/2021 17:01:37,
1372966,"Empire Roofing Inc of Nashville","Empire Roofing Inc of Nashville","454526366","1645 Lebanon Pike Cir","Nashville","TN","37210",238160," Roofing contractors ",33,60496,2,0,0,0,0,0,0,0,0,0,0,0,0,746713,1,2,2020,4/14/2021 17:08:48,
