company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
NATIONS ROOF CENTRAL LLC|260137335|nations roof central|85|85|0|84|38|171876|181198|0|174774|79261
Nations Roof East, LLC|342018017|nations roof east|0|0|51|0|65|0|0|87303|0|136310
Nations Roof Gulf Coast, LLC|475521881|nations roof gulf coast|23|30|28|23|25|47169|58498|57654|46288|53204
Nations Roof Mountain, LLC|472068634|nations roof mountain|30|21|26|40|40|55432|43849|55059|84051|84051
Nations Roof North, LLC|260887334|nations roof north|89|87|0|81|99|137445|134965|0|163314|205753
Nations Roof of Carolina, LLC|581952382|nations roof of carolina|0|0|0|0|43|0|0|0|0|88688
Nations Roof of New England, LLC|260584774|nations roof of new england|62|52|50|55|75|117448|139187|107847|143474|155485
Nations Roof of New York||nations roof of new york|23|19|0|0|0|24263|21665|0|0|0
Nations Roof of Ohio LLC|205656064|nations roof of ohio|0|0|0|95|72|0|0|0|125472|150268
Nations Roof of Oregon, LLC|812697399|nations roof of oregon|12|11|0|0|25|45334|22901|0|0|51791
Nations Roof of Pennsylvania, LLC|843983957|nations roof of pennsylvania|0|0|0|0|17|0|0|0|0|36945
Nations Roof South, LLC|208076931|nations roof south|15|0|0|0|30|13407|0|0|0|63039
Nations Roof West, LLC|812667009|nations roof west|92|60|66|62|80|101148|100317|137947|129080|167351
Nationwide Energy Solutions LLC|874173807|nationwide energy|0|0|26|0|0|0|0|54080|0|0
Nationwide Exteriors of Tampa, LLC|843737505|nationwide exteriors of tampa|0|0|39|0|0|0|0|81120|0|0
Nationwide General Contracting|815335415|nationwide general contracting|0|0|69|0|0|0|0|143520|0|0
Nationwide General Contracting Maryland|844171515|nationwide general contracting maryland|0|0|71|0|0|0|0|147680|0|0
Natiosn Roof Sunshine State LLC|815280112|natiosn roof sunshine state|0|0|0|156|144|0|0|0|326304|301214
Neighborhood Insulation Co., Inc.|383295676|neighborhood insulation|0|0|0|17|17|0|0|0|29428|34681
Neth & Son Inc|161010131|neth & son|0|0|110|0|0|0|0|135100|0|0
Nettles Construction Solutions, Inc.|481042732|nettles|64|45|43|80|88|69659|75839|67660|151633|152586
Neumann Construction and Roofing LLC|591819167|neumann construction & roofing|0|0|0|0|45|0|0|0|0|94593
Nevada Commercial Coatings, LLC|900844519|nevada commercial coatings|0|25|0|0|0|0|50340|0|0|0
NEW CENTURY ROOFING, LLC|451564913|new century roofing|26|22|20|20|20|35640|34815|31540|34369|238160
NEW ENGLAND MASONRY & ROOFING CO.|060811146|new england masonry & roofing|0|0|0|0|43|0|0|0|0|76925
Newton Crane Roofing, Inc.|371425932|newton crane roofing|45|38|38|38|38|54697|55746|55215|53293|54683
Nieto Contractors Inc.|132817020|nieto|0|0|0|75|0|0|0|0|122800|0
Nine Square Roofing and Construction LLC|453963094|nine square roofing|20|20|34|15|13|21636|13327|20819|20090|24375
