company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|website|match_company_name|stripped_company_name|company_name_multiple_match
Bri-Den Roofing|||||||www.bridenroofing.com||bri-den roofing|false
Bridgewater Roofing Contractors|||||||bridgewaterroofing.net||bridgewater roofing|false
Bridgewood Roofing & General Contractors|||||||bridgewoodroofing.com||bridgewood roofing & general|false
Briggs Roofing Services|||||||rooferinleeds.co.uk||briggs roofing|false
Broomfield Roofing Services|||||||unknown||broomfield roofing|false
Brothers Services||1|2|43|82175|873875709|www.brothersservices.com|'Brothers National'|brothers|false
Broward Roofing Supply of Hallandale|||||||www.browardroofingsupply.com||broward roofing supply of hallandale|false
Brown Roofing Contractors|||||||brown-roofing.co.uk||brown roofing|false
Brown's Roofing|||||||brownsroofingla.com||brown's roofing|false
Brunwin Professional Roofing Services|||||||brunwinroofing.co.uk||brunwin professional roofing|false
BSW Roofing Contractors|||||||bswroofing.com||bsw roofing|false
Bt Roofing Services|||||||btroofingservices.co.uk||bt roofing|false
Bulldog Roofing|||||||www.bulldog-roof.com||bulldog roofing|false
Bumble Roofing|||||||www.bumbleroofing.com||bumble roofing|false
Burgin Roofing Services|||||||burginroofing.com||burgin roofing|false
Burke Industries||1|22|120|191516||www.burkeind.com|'Burke Construction Group'|burke|false
Burns & Scalo|||||||www.burns-scalo.com||burns & scalo|false
Bury Roofing Services|||||||bury-roofing.co.uk||bury roofing|false
Byford Roofing Services|||||||byfordroofing.com||byford roofing|false
Byrne Roofing Services|||||||unknown||byrne roofing|false
C Hynes Roofing Services|||||||chynesroofing.co.uk||c hynes roofing|false
C J Roofing Services|||||||roofingcountydurham.co.uk||c j roofing|false
C S Roofing Contractors|||||||roofersineastbourne.com||c s roofing|false
C. J. S. Roofing Contractors|||||||cjsroofing.co.uk||c. j. s. roofing|false
C.H.I. Roofing|||||||731roof.com||c.h.i. roofing|false
C&J Harrison Roofing Services|||||||candjharrisonroofingservices.co.uk||c&j harrison roofing|false
C||1, 3|33|67|146016|386004711, 810583723|F Roofing|'c'|c|false
CA Group (Building Products)||1|22|140|313032|453087555|www.cagroup.co.uk|'CA'|ca|false
Caden Roofing Services|||||||cadenroofing.com||caden roofing|false
Cal's Roofing|||||||calsroofing.com||cal's roofing|false
Cambie Roofing Contractors|||||||cambieroofing.com||cambie roofing|false
Cambridge Wilson & Co.|||||||www.cwcroofing.com||cambridge wilson &|false
Camp Facility Services|||||||www.campfs.com||camp facility|false
Campany Roofing|||||||campanyroofing.com||campany roofing|false
campbell roofing materials co|||||||campbellroofingco.com||campbell roofing materials|false
Cannon Roofing|||||||www.cannonroofing.com||cannon roofing|false
Canopy Home Exteriors|||||||canopyhomeexteriors.com||canopy home exteriors|false
CanPro Roofing Partners|||||||www.canproroofing.com||canpro roofing|false
Capital Roofing & Building Services|||||||capitalroofs.co.uk||capital roofing & building|false
Capital Roofing Contractors|||||||capitalroofingcontractors.com||capital roofing|false
Capital Roofing Services Edinburgh|||||||capitalroofingservicesedinburgh.co.uk||capital roofing services edinburgh|false
Cardinal Roofing and Restoration|||||||www.cardinal-roof.com||cardinal roofing and restoration|false
Carmen Roofing Services|||||||www.carmenroofing.com||carmen roofing|false
Carpenter's Roofing & Sheet Metal|||||||www.carpentersroofing.com||carpenter's roofing & sheet metal|false
CARRILLO ROOFING SERVICES|||||||carrilloroofingswf.com||carrillo roofing|false
Carroll & Sons Roofing|||||||www.carrollsons.com||carroll & sons roofing|false
Carter Roofing Services|||||||carter-roofing.co.uk||carter roofing|false
Carvil Jones Roofing Contractors|||||||southcheshireroofing.co.uk||carvil jones roofing|false
Castile Roofing|||||||www.castileroofing.com||castile roofing|false
Castle Damp-Proofing|||||||castledampproofing.co.uk||castle damp-proofing|false
Cater (Roofing Contractors)|||||||caterroofing.co.uk||cater|false
Cb Roofing Services|||||||cbroofingsalisbury.co.uk||cb roofing|false
CCR Roofing Services|||||||ccrroofingkc.com||ccr roofing|false
CeDUR|||||||www.cedur-roofing.squarespace.com||cedur|false
Centennial Roofing (Other Commercial Services)|||||||www.centennialroofllc.com||centennial roofing|false
CENTRAL||1|283|1427|2532554|201897905, 453200069, 455609651, 640428364, 720646300, 721080818, 721080819, 721080820, 721376173, 721494519, 825322795|Roofing|'Central Management Company, LLC'|central|true
Central Roofing||1|42|107|204867|330536574, 454310902|www.centralroofing.co.uk|'Central Roofing Co.'|central roofing|true
Central Roofing Illinois|||||||www.centralroofingllc.net||central roofing illinois|false
Centre Point Roofing Services|||||||centrepointroofing.co.uk||centre point roofing|false
CertainTeed||1|190|2860|6123211|043718860, 232510893, 232817856, 320414794, 320613145|www.certainteed.com|'CertainTeed'|certainteed|true
Certified Roofing General Contractors|||||||certifiedroofco.com||certified roofing general|false
CFS Roofing Services||1|3|236|425044|274953359|www.cfsroofing.com|'CFS Roofing'|cfs roofing|false
Chamberlin Roofing & Waterproofing||1|3|779|1523224||www.chamberlinltd.com|'Chamberlin Roofing & Waterproofing'|chamberlin roofing & waterproofing|false
Chattanooga Roofing Contractors|||||||chattanoogacontractorsgroup.com||chattanooga roofing|false
Childers Roofing & Sheetmetal|||||||www.childersroofing.net||childers roofing & sheetmetal|false
Choufani & Bailey Roofing & Restoration|||||||www.choufaniandbailey.com||choufani & bailey roofing & restoration|false
Chris Andersen Roofing and Erecting|||||||www.chrisandersenroofing.com||chris andersen roofing and erecting|false
Christianson Roofing|||||||www.christiansonroofing.com||christianson roofing|false
Cincinnati Roofing Contractor|||||||cincinnati-roofing-contractor.com||cincinnati roofing contractor|false
Circle L Roofing & General Contractors|||||||circlelroofingtx.com||circle l roofing & general|false
Citadel Roofing & Solar|||||||www.citadelrs.com||citadel roofing & solar|false
Citrus Roofing Contractors|||||||citrusroofing.com||citrus roofing|false
City Roofing And Asphalt Services|||||||cityroofing.eu||city roofing and asphalt|false
CJ Roofing|||||||www.cjroofing.com||cj roofing|false
Cj's Roofing|||||||cjsroofingandbuilding.co.uk||cj's roofing|false
Cladding & Roofing Contractors|||||||claddingandroofing.com.au||cladding & roofing|false
Clark's Quality Roofing|||||||www.clarkroof.com||clark's quality roofing|false
Clarke Building And Roofing Services|||||||clarkebuildingandroofingservices.co.uk||clarke building and roofing|false
Classic Roofing and Construction|||||||www.classicroofreplacement.com||classic roofing and|false
Clay Roofing Services|||||||clayroofingservices.co.uk||clay roofing|false
